Year,Genre,Platform,North America Sales(EU),Europe Sales(EU),Japan Sales(EU),Other Sales(EU),Global Sales
1980,Action,2600,10.59,4.94,0.68,0.92,16.85
1981,Adventure,2600,15.88,2.84,0.78,0.99,20.49
1982,Sports,2600,18.13,3.56,0.69,1.05,23.43
1983,Shooter,2600,14.03,3.54,0.42,0.85,19.84
1984,Platform,NES,26.93,10.78,1.56,3.19,42.46
1985,Racing,SNES,17.28,6.81,4.18,1.00,29.27
1986,Role-Playing,NES,28.91,11.91,19.63,4.38,64.83
1987,Puzzle,GB,10.68,2.96,8.45,0.67,22.76
1988,Simulation,PC,0.97,0.34,0.52,0.08,1.91
1989,Fighting,SNES,7.49,2.68,1.39,0.44,12.00
1990,Strategy,PC,2.26,1.21,0.97,0.14,4.59
1991,Survival Horror,SNES,5.39,3.48,3.90,0.29,13.06
1992,Stealth,PS1,6.16,5.74,4.65,0.44,17.99
1993,Sandbox,PC,10.82,5.30,3.60,0.82,20.54
1994,MMORPG,PC,9.99,6.94,4.36,1.05,22.34
1995,MOBA,PC,8.67,5.77,3.01,1.00,18.45
1996,Open World,PS1,94.70,40.24,34.11,9.27,178.44
1997,Real-time Strategy,PC,53.28,38.32,10.56,3.25,105.41
1998,First-Person Shooter,PC,87.49,52.44,10.76,8.41,159.34
1999,Action-Adventure,PS2,122.45,72.23,36.57,10.78,242.04
2000,Survival,PS2,116.88,60.25,32.48,10.37,219.98
2001,Science Fiction,PS2,147.64,73.45,42.77,11.62,275.21
2002,Western,PS2,156.78,82.39,34.20,11.01,284.21
2003,Horror,PS2,188.71,84.03,41.65,14.17,328.29
2004,Fantasy,PS2,193.61,87.15,41.68,13.80,336.80
2005,War,PS2,171.45,78.13,38.43,12.98,301.40
2006,Historical,PS3,129.24,61.29,20.50,11.21,222.69
2007,Sports,PS3,169.14,77.84,16.11,15.85,279.22
2008,Racing,PS3,147.47,67.81,20.24,14.65,250.12
2009,Adventure,PS3,127.14,64.06,15.24,13.88,220.59
2010,Action,PS3,120.75,57.08,12.94,11.86,202.56
2011,Shooter,PS3,113.90,57.85,14.76,10.23,196.04
2012,Platform,PS3,99.21,52.52,10.33,8.45,170.70
2013,Role-Playing,PS4,100.00,49.88,9.24,6.12,165.24
2014,Puzzle,PS4,95.20,48.34,7.77,5.33,156.64
2015,Sports,PS4,92.42,47.35,6.22,4.79,150.78
2016,Simulation,PS4,79.46,37.50,5.30,3.29,125.55
2017,Fighting,PS4,67.85,31.92,4.82,2.80,107.39
2018,Strategy,PC,43.32,22.25,4.14,1.52,71.23
2019,MMORPG,PC,34.67,19.45,3.79,1.28,59.19
2020,MOBA,PC,26.58,15.92,3.23,1.05,46.78
